Index,Country,Scope,Jurisdiction,Type of Law,Product Type,Application,Ordinance,Hyperlink to Ordinance
1,Afghanistan,National,Afghanistan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
2,Albania,National,Albania,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
3,Algeria,National,Algeria,Other,Bag,Import,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
4,Andorra,State,Andorra,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
5,Antigua & Barbuda,National,Antigua & Barbuda,Ban,Bag,"Retail, Manufacture, Distribution, Import, Use",link,http://legalaffairs.gov.ag/pdf/bills/External_Trade_Prohibition_of_Plastic_Bags_Order_2017.pdf
6,Argentina,Local,Buenos Aires City,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
7,Argentina,Local,El Bolson,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
8,Argentina,Local,El Calafate,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
9,Argentina,State,Buenos Aires Province,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
10,Argentina,State,Chubut Province,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
11,Argentina,State,Mendoza Province,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
12,Aruba,Local,Aruba,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
13,Australia,Local,Blackheath,Ban,Straw,Restaurant,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
14,Australia,Local,Canberra,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
15,Australia,Local,Coles Bay,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
16,Australia,Local,Fremantle,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
17,Australia,Local,Huskisson,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
18,Australia,Local,Kangaroo Valley,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
19,Australia,Local,Mogo,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
20,Australia,Local,Oyster Bay,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
21,Australia,Local,Woorabinda,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
22,Australia,State,Australian Capital Territory,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
23,Australia,State,Northern Territory,Ban+Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
24,Australia,State,South Australia,Ban,Bag,Unknown,link,http://www.byobags.com.au/Home.mvc
25,Australia,State,Tasmania,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
26,Austria,State,Austria,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
27,Bangladesh,National,Bangladesh,Ban,Bag,Unknown,link,http://extwprlegs1.fao.org/docs/pdf/bgd42272.pdf
