"Regiones","Puntos verdes (Ton/mes)","Puntos limpios (Ton/mes)","Centros de acopio (Ton/mes)"
"XV Arica y Parinacota","0.6","",""
"I Tarapacá","","",""
"II Antofagasta","9.7","0.5","602"
"III Atacama","21","0","659"
"IV Coquimbo","2.8","59","831"
"V Valparaíso","4.6","0.1","20763"
"Región Metropolitana","108","32","5406"
"VI Libertador Bernardo O'Higgins","","","484"
"VII Maule","24","","1280"
"VIII Biobío","39","0","1235"
"IX La Araucanía","207","3.2","1318"
"XIV Los Ríos","2.8","0.3","129"
"X Los Lagos","12","","7513"
"XI Aysén","0.4","",""
"XII Magallanes y la Antártica Chilena","6.6","","990"
